date,store_id,product_sku,category,units_received,units_sold,units_wasted,unit_cost
2025-12-21,S-02,FP-002,Fresh Produce,114,109,4,3.99
2025-10-18,S-02,HH-004,Household,114,112,2,2.99
2025-12-15,S-07,FP-003,Fresh Produce,23,13,9,4.29
2025-12-04,S-10,FP-002,Fresh Produce,91,83,3,3.99
2025-12-29,S-09,SN-002,Snacks,48,45,1,8.99
2025-10-01,S-03,HH-005,Household,74,71,1,12.49
2025-10-20,S-04,HL-004,Health,63,63,0,9.99
2025-11-18,S-02,BV-003,Beverages,64,63,1,12.99
2025-11-28,S-09,DA-003,Dairy,68,65,1,6.99
2025-12-20,S-10,BV-004,Beverages,93,93,0,4.49
2025-10-06,S-04,HL-005,Health,57,56,0,4.49
2025-10-13,S-07,FZ-003,Frozen,78,76,1,2.99
2025-11-17,S-06,BK-004,Bakery,105,96,4,3.49
2025-12-22,S-02,PT-004,Pantry,101,100,0,3.49
2025-10-21,S-08,BV-005,Beverages,54,52,0,3.99
2025-10-08,S-04,FP-003,Fresh Produce,60,57,3,4.29
2025-10-28,S-10,HL-001,Health,60,57,0,14.99
2025-11-20,S-08,DA-005,Dairy,53,47,1,4.99
2025-12-11,S-09,FZ-002,Frozen,115,110,2,5.49
2025-12-14,S-07,BV-004,Beverages,48,45,0,4.49
2025-10-12,S-01,DA-003,Dairy,39,32,2,6.99
2025-11-24,S-10,FP-005,Fresh Produce,69,63,3,6.49
2025-12-07,S-05,PT-001,Pantry,21,19,0,1.99
2025-12-22,S-06,DA-003,Dairy,57,51,3,6.99
2025-10-01,S-05,MT-003,Meat,117,113,4,8.99
2025-12-20,S-05,HH-001,Household,84,83,0,11.99
2025-11-17,S-03,MT-005,Meat,119,108,11,7.99
2025-12-16,S-06,MT-002,Meat,22,20,0,7.49
2025-11-09,S-04,FP-004,Fresh Produce,50,46,4,5.99
2025-10-11,S-08,FP-005,Fresh Produce,117,109,7,6.49
2025-10-17,S-08,PT-001,Pantry,41,37,1,1.99
2025-10-28,S-09,HL-004,Health,113,110,2,9.99
2025-11-09,S-07,HH-003,Household,103,99,1,8.99
2025-12-06,S-08,DA-003,Dairy,51,48,1,6.99
2025-10-03,S-10,PT-001,Pantry,49,49,0,1.99
2025-10-10,S-01,BK-005,Bakery,28,24,2,6.29
2025-10-10,S-09,FZ-001,Frozen,55,53,1,8.99
2025-12-09,S-03,HL-002,Health,93,91,1,3.99
2025-11-30,S-07,BK-003,Bakery,32,29,0,4.99
2025-11-15,S-07,SN-002,Snacks,79,79,0,8.99
2025-10-08,S-07,HL-002,Health,63,62,0,3.99
2025-10-25,S-04,MT-005,Meat,77,74,2,7.99
2025-11-05,S-08,FZ-001,Frozen,29,28,1,8.99
2025-10-07,S-09,FP-001,Fresh Produce,31,28,2,2.49
2025-10-22,S-07,MT-002,Meat,81,75,3,7.49
2025-10-08,S-03,BV-005,Beverages,20,17,1,3.99
2025-11-28,S-05,SN-003,Snacks,109,104,2,5.49
2025-10-20,S-04,FZ-004,Frozen,47,47,0,7.49
2025-11-10,S-01,FP-004,Fresh Produce,94,85,5,5.99
2025-10-21,S-01,MT-003,Meat,30,28,2,8.99
2025-12-16,S-02,HH-004,Household,50,49,1,2.99
2025-12-12,S-04,PT-003,Pantry,96,96,0,8.99
2025-11-23,S-10,PT-002,Pantry,86,83,1,2.49
2025-10-27,S-06,FZ-001,Frozen,53,51,1,8.99
2025-12-25,S-05,SN-005,Snacks,60,60,0,4.49
2025-11-28,S-10,PT-002,Pantry,32,31,0,2.49
2025-12-04,S-05,DA-004,Dairy,64,58,5,3.29
2025-11-17,S-05,BK-001,Bakery,76,65,6,5.99
2025-11-08,S-10,HH-002,Household,87,85,0,3.49
2025-12-24,S-02,DA-004,Dairy,53,52,1,3.29
2025-12-10,S-03,FZ-003,Frozen,56,54,0,2.99
2025-10-27,S-05,MT-003,Meat,82,79,3,8.99
2025-10-12,S-07,FZ-003,Frozen,25,23,0,2.99
2025-10-17,S-05,BK-001,Bakery,114,103,6,5.99
2025-11-24,S-09,FP-001,Fresh Produce,34,29,0,2.49
2025-10-20,S-09,FP-003,Fresh Produce,67,62,4,4.29
2025-11-25,S-03,FP-003,Fresh Produce,59,57,2,4.29
2025-11-15,S-04,HH-004,Household,51,49,0,2.99
2025-12-11,S-07,PT-005,Pantry,115,114,0,4.99
2025-10-21,S-03,SN-002,Snacks,23,21,0,8.99
2025-11-22,S-04,FZ-003,Frozen,40,37,0,2.99
